customer_id,birthdate,gender,city,country,age,age_cateogry,segment
CUST00055,12/11/1989,Other,Manchester,United Kingdom,35,26-35,Loyal
CUST00056,2/21/1976,Female,Munich,Germany,49,46-55,Value Seekers
CUST00057,4/24/1992,Female,Madrid,Spain,33,26-35,Value Seekers
CUST00058,10/6/1945,Female,Vienna,Austria,79,65+,Promising
CUST00059,2/28/2002,Male,Paris,France,23,18-25,Medium Spenders
CUST00060,2/22/1999,Male,Prague,Czech Republic,26,26-35,Medium Spenders
CUST00061,8/13/1989,Female,Brussels,Belgium,35,26-35,Value Seekers
CUST00062,5/13/1976,Female,Paris,France,49,46-55,Loyal
CUST00063,5/11/1956,Female,Rome,Italy,69,65+,Value Seekers
CUST00064,11/15/1994,Female,Milan,Italy,30,26-35,Loyal
CUST00065,2/21/1962,Male,Vienna,Austria,63,56-65,Value Seekers
CUST00067,7/7/1944,Female,Krakow,Poland,80,65+,Promising
CUST00068,5/23/1992,Female,Rome,Italy,32,26-35,Value Seekers
CUST00070,10/17/1948,Male,Manchester,United Kingdom,76,65+,High Spenders
CUST00071,3/16/2002,Female,Lyon,France,23,18-25,Champions
CUST00072,12/14/1996,Male,Glasgow,United Kingdom,28,26-35,High Spenders
CUST00073,3/4/1998,Male,Amsterdam,Netherlands,27,26-35,Value Seekers
CUST00075,8/27/1965,Female,London,United Kingdom,59,56-65,Value Seekers
CUST00076,3/9/2005,Female,Vienna,Austria,20,18-25,Loyal
CUST00077,6/9/1982,Male,Paris,France,42,36-45,High Spenders
CUST00078,1/16/1983,Female,Paris,France,42,36-45,Value Seekers
CUST00079,3/19/1978,Male,Istanbul,Turkey,47,46-55,Promising
CUST00080,3/14/1958,Female,Hamburg,Germany,67,65+,Loyal
CUST00081,8/22/1981,Female,Istanbul,Turkey,43,36-45,High Spenders
CUST00082,7/3/1993,Male,Paris,France,31,26-35,Value Seekers
CUST00083,11/2/1979,Male,Paris,France,45,36-45,Occasional Shoppers
CUST00084,1/19/1961,Male,Birmingham,United Kingdom,64,56-65,Loyal
CUST00086,3/30/1988,Female,Stockholm,Sweden,37,36-45,Value Seekers
CUST00088,8/12/1989,Female,Brussels,Belgium,35,26-35,Value Seekers
CUST00089,5/11/1999,Female,Marseille,France,26,26-35,Newbies
CUST00090,10/6/1993,Male,Stockholm,Sweden,31,26-35,Loyal
CUST00091,6/17/1955,Male,Hamburg,Germany,69,65+,High Spenders
CUST00092,5/19/1982,Female,Madrid,Spain,43,36-45,High Spenders
CUST00093,8/25/1990,Female,Helsinki,Finland,34,26-35,Medium Spenders
CUST00095,4/19/1992,Male,Amsterdam,Netherlands,33,26-35,Newbies
CUST00096,3/18/1991,Female,Prague,Czech Republic,34,26-35,High Spenders
CUST00097,7/5/1977,Female,Berlin,Germany,47,46-55,High Spenders
CUST00098,4/6/1993,Other,Paris,France,32,26-35,Loyal
CUST00100,7/23/1985,Male,Naples,Italy,39,36-45,Value Seekers
CUST00101,8/28/2002,Female,Naples,Italy,22,18-25,Value Seekers
CUST00102,11/5/1969,Male,Hamburg,Germany,55,46-55,Occasional Shoppers
CUST00103,6/1/2001,Female,Dublin,Ireland,23,18-25,High Spenders
CUST00104,6/3/1989,Male,Hamburg,Germany,35,26-35,High Spenders
CUST00105,7/4/1997,Male,Barcelona,Spain,27,26-35,Loyal
CUST00106,5/3/1980,Female,London,United Kingdom,45,36-45,Medium Spenders
CUST00107,2/26/1998,Female,Naples,Italy,27,26-35,Value Seekers
CUST00108,3/18/1996,Male,Zurich,Switzerland,29,26-35,Loyal
CUST00109,1/4/2004,Female,London,United Kingdom,21,18-25,Loyal
CUST00110,10/1/2005,Male,Athens,Greece,19,18-25,High Spenders
CUST00111,7/23/1996,Female,Istanbul,Turkey,28,26-35,Value Seekers
CUST00114,9/11/1969,Male,Aarhus,Denmark,55,46-55,Loyal
CUST00115,1/31/1998,Other,Milan,Italy,27,26-35,Occasional Shoppers
CUST00116,11/23/1958,Male,Copenhagen,Denmark,66,65+,Value Seekers
CUST00118,10/7/2004,Male,Geneva,Switzerland,20,18-25,Value Seekers
CUST00119,10/21/1973,Male,Berlin,Germany,51,46-55,Value Seekers
CUST00120,8/10/1993,Male,Berlin,Germany,31,26-35,Medium Spenders
CUST00121,2/26/2007,Male,Stockholm,Sweden,18,18-25,Newbies
CUST00122,10/2/1990,Male,Paris,France,34,26-35,Promising
CUST00125,2/7/1984,Female,Rome,Italy,41,36-45,Promising
CUST00126,10/20/1988,Female,Lisbon,Portugal,36,36-45,Newbies
CUST00127,3/19/1991,Male,Milan,Italy,34,26-35,Loyal
CUST00128,1/2/2006,Male,Toulouse,France,19,18-25,Newbies
CUST00129,4/26/1985,Male,London,United Kingdom,40,36-45,High Spenders
CUST00130,10/3/1999,Female,Barcelona,Spain,25,18-25,Medium Spenders
CUST00131,6/28/1983,Female,Rome,Italy,41,36-45,Promising
CUST00132,11/15/1988,Male,Berlin,Germany,36,36-45,Value Seekers
CUST00133,3/31/1940,Male,Krakow,Poland,85,65+,High Spenders
CUST00135,3/6/1965,Female,Brussels,Belgium,60,56-65,High Spenders
CUST00136,10/20/1954,Female,Glasgow,United Kingdom,70,65+,Value Seekers
CUST00137,10/28/2002,Other,Warsaw,Poland,22,18-25,Newbies
CUST00138,9/14/1940,Female,Barcelona,Spain,84,65+,Loyal
CUST00139,3/27/1996,Female,Toulouse,France,29,26-35,High Spenders
CUST00140,4/8/1999,Female,Milan,Italy,26,26-35,Occasional Shoppers
CUST00141,10/19/1978,Male,Rome,Italy,46,46-55,Value Seekers
CUST00144,8/6/1986,Male,Glasgow,United Kingdom,38,36-45,High Spenders
CUST00145,5/16/1995,Female,Prague,Czech Republic,30,26-35,High Spenders
CUST00146,2/14/1984,Female,Milan,Italy,41,36-45,Value Seekers
CUST00147,1/6/1993,Other,Paris,France,32,26-35,Value Seekers
CUST00148,11/6/1995,Male,Athens,Greece,29,26-35,Newbies
CUST00149,1/9/1967,Female,Amsterdam,Netherlands,58,56-65,Promising
CUST00150,1/5/1981,Other,London,United Kingdom,44,36-45,Promising
CUST00151,4/16/1994,Female,Athens,Greece,31,26-35,Promising
CUST00152,11/13/1972,Male,Oslo,Norway,52,46-55,Value Seekers
CUST00153,10/10/1992,Female,London,United Kingdom,32,26-35,Medium Spenders
CUST00154,5/27/1950,Female,London,United Kingdom,74,65+,High Spenders
CUST00155,6/24/1980,Male,Manchester,United Kingdom,44,36-45,Value Seekers
CUST00156,4/29/1982,Female,Manchester,United Kingdom,43,36-45,Newbies
CUST00157,8/20/1991,Female,Brussels,Belgium,33,26-35,Newbies
CUST00158,5/7/1987,Male,Ankara,Turkey,38,36-45,Occasional Shoppers
CUST00159,4/27/2006,Male,Stockholm,Sweden,19,18-25,High Spenders
CUST00162,9/4/1994,Male,London,United Kingdom,30,26-35,Medium Spenders
CUST00163,11/29/2001,Female,Valencia,Spain,23,18-25,Promising
CUST00164,8/2/1989,Male,Dublin,Ireland,35,26-35,High Spenders
CUST00165,11/24/1993,Other,Ankara,Turkey,31,26-35,Value Seekers
CUST00166,12/29/1993,Male,Vienna,Austria,31,26-35,Value Seekers
CUST00167,10/28/2004,Female,Oslo,Norway,20,18-25,Medium Spenders
CUST00168,8/20/1980,Male,Athens,Greece,44,36-45,High Spenders
CUST00169,6/15/1996,Female,London,United Kingdom,28,26-35,High Spenders
CUST00170,5/15/1966,Male,Amsterdam,Netherlands,59,56-65,Loyal
CUST00171,9/12/1983,Female,Cologne,Germany,41,36-45,High Spenders
CUST00172,5/4/1944,Other,Milan,Italy,81,65+,Value Seekers
CUST00173,4/2/1997,Male,London,United Kingdom,28,26-35,Loyal
CUST00175,5/12/1946,Female,Vienna,Austria,79,65+,High Spenders
CUST00176,11/18/1959,Male,Berlin,Germany,65,56-65,High Spenders
CUST00177,12/1/2003,Female,Madrid,Spain,21,18-25,High Spenders
CUST00178,7/3/1999,Female,Istanbul,Turkey,25,18-25,Medium Spenders
CUST00179,2/12/1998,Female,Istanbul,Turkey,27,26-35,High Spenders
CUST00180,4/26/1978,Female,Istanbul,Turkey,47,46-55,Newbies
CUST00181,5/8/1978,Other,Warsaw,Poland,47,46-55,Promising
CUST00182,8/3/1990,Male,Birmingham,United Kingdom,34,26-35,Value Seekers
CUST00185,6/18/2004,Male,Prague,Czech Republic,20,18-25,High Spenders
CUST00187,4/13/1998,Female,Valencia,Spain,27,26-35,High Spenders
CUST00188,7/7/2006,Female,Madrid,Spain,18,18-25,Newbies
CUST00189,9/3/1981,Female,Istanbul,Turkey,43,36-45,Loyal
CUST00190,9/15/1996,Female,Rome,Italy,28,26-35,Medium Spenders
CUST00191,8/13/1978,Female,Athens,Greece,46,46-55,Loyal
CUST00192,6/21/1991,Female,Brno,Czech Republic,33,26-35,Loyal
CUST00193,2/1/1977,Female,London,United Kingdom,48,46-55,High Spenders
CUST00194,1/11/1963,Male,Cologne,Germany,62,56-65,Loyal
CUST00195,1/8/1972,Female,Berlin,Germany,53,46-55,Value Seekers
CUST00196,1/11/1993,Female,Rome,Italy,32,26-35,Value Seekers
CUST00197,6/11/1991,Male,Istanbul,Turkey,33,26-35,Medium Spenders
CUST00198,2/15/1998,Female,Berlin,Germany,27,26-35,Value Seekers
CUST00199,5/13/1997,Male,Paris,France,28,26-35,Loyal
CUST00200,11/5/1978,Male,Oslo,Norway,46,46-55,Value Seekers
CUST00202,7/19/1992,Female,Berlin,Germany,32,26-35,Medium Spenders
CUST00203,9/25/1990,Male,Glasgow,United Kingdom,34,26-35,Newbies
CUST00204,11/29/1989,Female,Barcelona,Spain,35,26-35,Newbies
CUST00205,11/30/1990,Male,Porto,Portugal,34,26-35,High Spenders
CUST00206,12/2/1996,Male,Hamburg,Germany,28,26-35,Newbies
CUST00207,9/10/1949,Other,Berlin,Germany,75,65+,High Spenders
CUST00208,5/18/2001,Female,Glasgow,United Kingdom,24,18-25,Promising
CUST00209,9/24/2004,Male,Rome,Italy,20,18-25,Newbies
CUST00210,9/6/1973,Male,Glasgow,United Kingdom,51,46-55,Loyal
CUST00211,5/13/1992,Male,Brussels,Belgium,33,26-35,Value Seekers
CUST00212,1/13/1970,Male,Brussels,Belgium,55,46-55,Occasional Shoppers
CUST00213,4/12/1997,Female,Gothenburg,Sweden,28,26-35,Loyal
CUST00214,4/17/2001,Male,London,United Kingdom,24,18-25,High Spenders
CUST00215,10/1/2006,Female,Berlin,Germany,18,18-25,Newbies
CUST00216,1/22/1971,Female,Berlin,Germany,54,46-55,High Spenders
CUST00217,3/29/1994,Male,Lyon,France,31,26-35,High Spenders
CUST00218,7/9/2001,Other,Stockholm,Sweden,23,18-25,High Spenders
CUST00219,10/1/1975,Female,Dublin,Ireland,49,46-55,Value Seekers
CUST00220,11/25/2006,Female,Stockholm,Sweden,18,18-25,Loyal
CUST00222,3/11/1997,Male,Hamburg,Germany,28,26-35,Value Seekers
CUST00223,2/7/1980,Male,Prague,Czech Republic,45,36-45,Occasional Shoppers
CUST00224,12/20/1989,Female,Paris,France,35,26-35,Promising
CUST00225,10/2/1989,Female,Marseille,France,35,26-35,Value Seekers
CUST00226,3/11/1966,Male,Naples,Italy,59,56-65,Loyal
CUST00227,12/9/1987,Female,Paris,France,37,36-45,Newbies
CUST00228,10/14/1988,Male,Rome,Italy,36,36-45,Value Seekers
CUST00229,12/6/1992,Other,Brussels,Belgium,32,26-35,Value Seekers
CUST00230,10/30/1973,Female,Berlin,Germany,51,46-55,High Spenders
CUST00231,1/22/1999,Male,Paris,France,26,26-35,Loyal
CUST00232,9/7/1996,Other,Ankara,Turkey,28,26-35,Value Seekers
CUST00234,12/22/1978,Male,Izmir,Turkey,46,46-55,Value Seekers
CUST00235,1/24/1992,Male,Gothenburg,Sweden,33,26-35,Loyal
CUST00236,11/11/1991,Female,Geneva,Switzerland,33,26-35,Newbies
CUST00237,1/8/2004,Other,Paris,France,21,18-25,Value Seekers
CUST00238,11/21/1998,Female,Berlin,Germany,26,26-35,Medium Spenders
CUST00239,10/25/1984,Female,Madrid,Spain,40,36-45,Value Seekers
CUST00240,2/28/2006,Female,London,United Kingdom,19,18-25,Medium Spenders
CUST00241,2/22/1982,Female,London,United Kingdom,43,36-45,Promising
CUST00243,1/3/2006,Male,Madrid,Spain,19,18-25,Value Seekers
CUST00244,11/29/1994,Female,Barcelona,Spain,30,26-35,Value Seekers
CUST00245,5/30/1998,Female,Istanbul,Turkey,26,26-35,High Spenders
CUST00246,6/9/2002,Male,Porto,Portugal,22,18-25,Value Seekers
CUST00247,8/5/2001,Male,Naples,Italy,23,18-25,High Spenders
CUST00248,6/26/1991,Male,Lisbon,Portugal,33,26-35,Value Seekers
CUST00249,2/13/1992,Male,Lyon,France,33,26-35,Newbies
CUST00250,12/24/1979,Female,Barcelona,Spain,45,36-45,High Spenders
CUST00252,3/19/1987,Female,Birmingham,United Kingdom,38,36-45,Medium Spenders
CUST00253,3/9/1991,Female,London,United Kingdom,34,26-35,High Spenders
CUST00254,8/29/1990,Female,Prague,Czech Republic,34,26-35,Value Seekers
CUST00255,7/1/1987,Female,Stockholm,Sweden,37,36-45,Medium Spenders
CUST00256,2/5/2005,Female,Antwerp,Belgium,20,18-25,High Spenders
CUST00257,7/21/1991,Male,Berlin,Germany,33,26-35,Loyal
CUST00258,2/23/1949,Female,Hamburg,Germany,76,65+,Loyal
CUST00259,5/29/1966,Female,Berlin,Germany,58,56-65,High Spenders
CUST00260,9/14/1999,Other,Vienna,Austria,25,18-25,Value Seekers
CUST00261,10/3/1987,Female,Manchester,United Kingdom,37,36-45,Occasional Shoppers
CUST00263,11/22/2003,Other,Lyon,France,21,18-25,One-Time High Spenders
CUST00264,6/12/2000,Female,Manchester,United Kingdom,24,18-25,Promising
CUST00265,6/20/1950,Other,Vienna,Austria,74,65+,Loyal
CUST00266,12/25/2000,Male,Rome,Italy,24,18-25,Occasional Shoppers
CUST00267,9/22/1997,Female,Cologne,Germany,27,26-35,Loyal
CUST00268,5/3/1977,Female,London,United Kingdom,48,46-55,Champions
CUST00269,9/29/2003,Male,Manchester,United Kingdom,21,18-25,High Spenders
CUST00272,6/21/2004,Female,Zurich,Switzerland,20,18-25,Medium Spenders
CUST00273,4/6/1990,Female,Helsinki,Finland,35,26-35,High Spenders
CUST00274,12/1/1995,Female,Geneva,Switzerland,29,26-35,High Spenders
CUST00275,1/31/1962,Female,Prague,Czech Republic,63,56-65,Value Seekers
CUST00276,6/13/1972,Female,Barcelona,Spain,52,46-55,Value Seekers
CUST00277,4/9/1980,Male,Madrid,Spain,45,36-45,High Spenders
CUST00278,4/27/1977,Male,Oslo,Norway,48,46-55,Loyal
CUST00279,10/5/1967,Female,Naples,Italy,57,56-65,Loyal
CUST00280,6/24/1972,Female,Istanbul,Turkey,52,46-55,Value Seekers
CUST00281,8/31/1950,Female,Berlin,Germany,74,65+,Promising
CUST00282,3/27/1978,Male,Berlin,Germany,47,46-55,High Spenders
CUST00284,8/4/1974,Other,Copenhagen,Denmark,50,46-55,High Spenders
CUST00285,4/23/1999,Female,Lyon,France,26,26-35,Occasional Shoppers
CUST00286,6/29/2006,Female,London,United Kingdom,18,18-25,Value Seekers
CUST00287,11/25/1990,Male,Milan,Italy,34,26-35,Loyal
CUST00288,2/19/1986,Male,Paris,France,39,36-45,Value Seekers
CUST00289,6/9/2005,Female,Izmir,Turkey,19,18-25,High Spenders
CUST00290,6/1/1985,Female,London,United Kingdom,39,36-45,Newbies
CUST00291,11/12/1983,Female,London,United Kingdom,41,36-45,High Spenders
CUST00292,9/30/2002,Male,Paris,France,22,18-25,Promising
CUST00293,1/3/1970,Male,Amsterdam,Netherlands,55,46-55,High Spenders
CUST00295,5/30/1990,Male,Manchester,United Kingdom,34,26-35,Medium Spenders
CUST00296,11/29/1994,Female,Hamburg,Germany,30,26-35,Loyal
CUST00297,2/2/1963,Male,Rotterdam,Netherlands,62,56-65,Value Seekers
CUST00298,8/14/1984,Female,Cork,Ireland,40,36-45,Medium Spenders
CUST00299,4/4/1992,Male,Lyon,France,33,26-35,High Spenders
CUST00300,10/18/1998,Female,Milan,Italy,26,26-35,Medium Spenders
CUST00301,11/10/2001,Male,Warsaw,Poland,23,18-25,Value Seekers
CUST00302,12/5/1996,Other,Berlin,Germany,28,26-35,Newbies
CUST00303,9/1/1987,Female,Berlin,Germany,37,36-45,Newbies
CUST00304,1/9/1994,Female,Manchester,United Kingdom,31,26-35,Medium Spenders
CUST00305,2/10/1987,Other,Paris,France,38,36-45,Champions
CUST00306,4/9/1998,Female,Manchester,United Kingdom,27,26-35,Loyal
CUST00308,4/17/1991,Female,Munich,Germany,34,26-35,Champions
CUST00309,11/9/1964,Female,Milan,Italy,60,56-65,Loyal
CUST00310,7/9/1935,Male,Warsaw,Poland,89,65+,Value Seekers
CUST00311,7/7/1989,Female,Milan,Italy,35,26-35,Value Seekers
CUST00312,8/7/1993,Female,Krakow,Poland,31,26-35,Value Seekers
CUST00313,11/20/2000,Female,Amsterdam,Netherlands,24,18-25,Loyal
CUST00314,8/25/1993,Female,Berlin,Germany,31,26-35,Medium Spenders
CUST00315,9/28/1939,Other,Brno,Czech Republic,85,65+,Loyal
CUST00316,1/16/1995,Female,Istanbul,Turkey,30,26-35,Loyal
CUST00317,12/27/1993,Male,Marseille,France,31,26-35,Occasional Shoppers
CUST00318,5/9/1962,Male,London,United Kingdom,63,56-65,Newbies
CUST00319,1/29/2000,Male,Rome,Italy,25,18-25,One-Time High Spenders
CUST00320,7/18/1989,Male,Birmingham,United Kingdom,35,26-35,High Spenders
CUST00321,2/9/1986,Female,Berlin,Germany,39,36-45,High Spenders
CUST00322,9/3/1960,Male,Paris,France,64,56-65,Newbies
CUST00323,7/8/1960,Female,Vienna,Austria,64,56-65,One-Time High Spenders
CUST00324,6/19/1985,Female,Izmir,Turkey,39,36-45,Newbies
CUST00325,10/26/1995,Female,Hamburg,Germany,29,26-35,High Spenders
CUST00326,12/1/1995,Male,Prague,Czech Republic,29,26-35,Champions
CUST00327,12/24/1996,Female,Munich,Germany,28,26-35,Medium Spenders
CUST00328,10/24/1997,Male,Madrid,Spain,27,26-35,Value Seekers
CUST00329,1/8/1999,Female,Rome,Italy,26,26-35,Value Seekers
CUST00330,6/4/1936,Male,Prague,Czech Republic,88,65+,Medium Spenders
CUST00331,4/7/1990,Male,Copenhagen,Denmark,35,26-35,Medium Spenders
CUST00332,5/20/2005,Male,Antwerp,Belgium,20,18-25,Loyal
CUST00333,5/30/1991,Female,Barcelona,Spain,33,26-35,Value Seekers
CUST00334,9/25/1988,Female,Stockholm,Sweden,36,36-45,Loyal
CUST00335,12/31/1989,Female,Paris,France,35,26-35,Newbies
CUST00336,3/23/1991,Female,Geneva,Switzerland,34,26-35,Value Seekers
CUST00337,1/31/1970,Female,Amsterdam,Netherlands,55,46-55,Value Seekers
CUST00338,2/10/1993,Female,London,United Kingdom,32,26-35,Newbies
CUST00339,5/25/1969,Female,Milan,Italy,55,46-55,One-Time High Spenders
CUST00340,5/3/1972,Male,London,United Kingdom,53,46-55,Value Seekers
CUST00341,5/13/2004,Female,Munich,Germany,21,18-25,High Spenders
CUST00342,7/25/1982,Female,Amsterdam,Netherlands,42,36-45,Loyal
CUST00343,10/23/1995,Female,Geneva,Switzerland,29,26-35,Value Seekers
CUST00344,8/13/1946,Male,London,United Kingdom,78,65+,High Spenders
CUST00345,2/26/1949,Male,Barcelona,Spain,76,65+,Value Seekers
CUST00346,11/23/1994,Other,Madrid,Spain,30,26-35,Loyal
CUST00347,12/2/1991,Female,Barcelona,Spain,33,26-35,Medium Spenders
CUST00349,2/10/1996,Female,Munich,Germany,29,26-35,High Spenders
CUST00350,5/19/2003,Female,Cologne,Germany,22,18-25,Newbies
CUST00351,8/30/1975,Female,The Hague,Netherlands,49,46-55,High Spenders
CUST00352,9/5/1980,Female,Paris,France,44,36-45,High Spenders
CUST00353,3/19/1991,Female,Marseille,France,34,26-35,High Spenders
CUST00354,7/8/1979,Female,London,United Kingdom,45,36-45,Occasional Shoppers
CUST00355,1/25/1992,Male,Lyon,France,33,26-35,Medium Spenders
CUST00356,4/12/2002,Male,Helsinki,Finland,23,18-25,Loyal
CUST00357,1/5/2003,Female,Antwerp,Belgium,22,18-25,Value Seekers
CUST00358,5/18/2000,Male,Vienna,Austria,25,18-25,Newbies
CUST00360,1/8/1973,Male,Brussels,Belgium,52,46-55,Loyal
CUST00362,10/25/1981,Female,Paris,France,43,36-45,Occasional Shoppers
CUST00363,2/12/1975,Female,Geneva,Switzerland,50,46-55,Value Seekers
CUST00364,1/30/2001,Male,Vienna,Austria,24,18-25,High Spenders
CUST00365,2/13/1971,Male,Berlin,Germany,54,46-55,Medium Spenders
CUST00366,8/6/1990,Other,Warsaw,Poland,34,26-35,Occasional Shoppers
CUST00367,8/17/1990,Female,Dublin,Ireland,34,26-35,High Spenders
CUST00368,3/29/1994,Female,Berlin,Germany,31,26-35,Loyal
CUST00369,7/23/2003,Male,Budapest,Hungary,21,18-25,Newbies
CUST00370,8/16/1984,Female,Birmingham,United Kingdom,40,36-45,Occasional Shoppers
CUST00371,7/5/1991,Other,Birmingham,United Kingdom,33,26-35,Medium Spenders
CUST00372,1/26/2004,Male,Vienna,Austria,21,18-25,Newbies
CUST00373,1/30/2001,Male,Warsaw,Poland,24,18-25,Loyal
CUST00374,10/3/1955,Female,Manchester,United Kingdom,69,65+,Value Seekers
CUST00375,4/11/2004,Female,Oslo,Norway,21,18-25,Newbies
CUST00377,3/11/1999,Male,Milan,Italy,26,26-35,Occasional Shoppers
CUST00378,4/21/1982,Male,Warsaw,Poland,43,36-45,Promising
CUST00379,4/26/1980,Female,Lyon,France,45,36-45,High Spenders
CUST00380,3/24/1999,Male,Berlin,Germany,26,26-35,High Spenders
CUST00381,8/28/1996,Female,Hamburg,Germany,28,26-35,High Spenders
CUST00382,11/8/1982,Female,Paris,France,42,36-45,Promising
CUST00383,6/20/1989,Female,Birmingham,United Kingdom,35,26-35,High Spenders
CUST00384,7/17/1997,Male,Rome,Italy,27,26-35,Promising
CUST00386,4/4/1977,Female,Rome,Italy,48,46-55,Promising
CUST00387,1/27/1984,Male,Berlin,Germany,41,36-45,Value Seekers
CUST00388,2/25/1954,Female,Brussels,Belgium,71,65+,High Spenders
CUST00389,3/14/1997,Female,Toulouse,France,28,26-35,High Spenders
CUST00390,11/1/2002,Female,London,United Kingdom,22,18-25,Newbies
CUST00391,12/18/1993,Male,Lyon,France,31,26-35,Value Seekers
CUST00392,1/8/2004,Female,Warsaw,Poland,21,18-25,Occasional Shoppers
CUST00393,3/28/1957,Other,Amsterdam,Netherlands,68,65+,Medium Spenders
CUST00394,9/11/1979,Male,Warsaw,Poland,45,36-45,Newbies
CUST00395,12/9/1953,Female,London,United Kingdom,71,65+,One-Time High Spenders
CUST00396,11/1/1973,Male,Berlin,Germany,51,46-55,High Spenders
CUST00397,5/14/1957,Male,Amsterdam,Netherlands,68,65+,Loyal
CUST00398,5/28/1960,Female,Lyon,France,64,56-65,Value Seekers
CUST00400,2/3/2003,Female,Naples,Italy,22,18-25,Value Seekers
CUST00401,3/15/1998,Male,London,United Kingdom,27,26-35,Promising
CUST00402,1/12/1991,Other,Krakow,Poland,34,26-35,Newbies
CUST00403,10/7/1989,Female,Porto,Portugal,35,26-35,High Spenders
CUST00404,2/28/1995,Other,Madrid,Spain,30,26-35,Value Seekers
CUST00405,2/2/1980,Female,Budapest,Hungary,45,36-45,Medium Spenders
CUST00406,3/30/1996,Female,Lyon,France,29,26-35,High Spenders
CUST00407,11/10/1992,Female,Antwerp,Belgium,32,26-35,Newbies
CUST00409,4/5/1997,Male,Manchester,United Kingdom,28,26-35,Newbies
CUST00411,7/24/1978,Other,Milan,Italy,46,46-55,Value Seekers
CUST00412,6/12/2006,Female,Brussels,Belgium,18,18-25,Value Seekers
CUST00413,11/14/2004,Male,Paris,France,20,18-25,High Spenders
CUST00414,2/3/1996,Female,Barcelona,Spain,29,26-35,Medium Spenders
